Gender,Age,Height(cm),Weight(kg),Body_Fat(%),Fitness_Level,Weekly_Training,Training_Type,Supplement,Supplement_Type,Usage_Period(weeks),Usage_Frequency(times/week),Diet_Type,Weight_Change(kg),Body_Fat_Change(%),Performance_Improvement(%),Satisfaction(1-10)
Male,Over_35,180-190,82,18,Beginner,3-5_times,HIIT,Fish_Oil,Deep_Sea,7,1,Regular,-0.2,-1.7,2.1,7.6
Male,Under_25,170-180,75,17,Advanced,3-5_times,HIIT,Whey_Protein,Concentrate,7,2,Vegan,2.8,-2.6,6.4,10
Female,25-35,180-190,72,20,Advanced,More_than_5,Strength_Training,Whey_Protein,Concentrate,6,4,Low_Carb,5.4,-1.7,9.6,10
Male,Under_25,Above_190,94,15,Intermediate,3-5_times,HIIT,Creatine,Monohydrate,3,1,Low_Carb,1.3,-0.1,10.3,10
Male,25-35,160-170,61,21,Beginner,Less_than_3,Strength_Training,Whey_Protein,Concentrate,6,3,Regular,1.8,-0.6,2.8,10
Male,Under_25,Above_190,83,12,Beginner,3-5_times,HIIT,Energy_Drink,Sugar_Free,8,3,Vegan,-0.6,-0.3,4.3,7.6
Male,25-35,160-170,74,23,Intermediate,3-5_times,Endurance,Whey_Protein,Isolate,3,4,High_Protein,1.2,-1,5.3,9.8
Female,Under_25,180-190,80,18,Advanced,More_than_5,Strength_Training,BCAA,Whey_Based,7,7,High_Protein,1.5,-0.6,10.5,10
Male,Under_25,180-190,85,15,Intermediate,More_than_5,Strength_Training,Pre_Workout,Regular,3,5,High_Protein,-0.3,-0.1,20.5,10
Female,Over_35,170-180,68,26,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,5,5,High_Protein,5.1,-1.4,7.5,10
Female,Over_35,170-180,75,27,Intermediate,More_than_5,Strength_Training,Whey_Protein,Isolate,6,3,Regular,6.2,-1.9,9.9,10
Male,25-35,160-170,63,26,Intermediate,3-5_times,Strength_Training,Pre_Workout,Regular,7,7,Regular,0,0.1,13.6,10
Male,25-35,170-180,83,26,Beginner,3-5_times,Strength_Training,Whey_Protein,Concentrate,3,3,Regular,3.9,-1.8,4.3,10
Male,Over_35,170-180,69,26,Intermediate,3-5_times,Endurance,Creatine,Monohydrate,4,2,High_Protein,2.3,-0.1,8.8,10
Female,Under_25,160-170,63,21,Intermediate,3-5_times,HIIT,Whey_Protein,Concentrate,5,5,Regular,2.1,-1.9,6.7,10
Male,25-35,170-180,70,20,Intermediate,More_than_5,HIIT,Creatine,HCL,6,5,Regular,2.7,-0.2,10.3,10
Female,Over_35,180-190,70,33,Advanced,3-5_times,Endurance,Multivitamin,Standard,5,4,Low_Carb,-0.1,-0.1,4.1,7.9
Female,Under_25,160-170,57,23,Intermediate,3-5_times,Endurance,Whey_Protein,Isolate,8,6,High_Protein,0.9,-0.7,5.1,9.9
Male,Under_25,180-190,77,13,Advanced,Less_than_3,Endurance,Pre_Workout,Caffeine_Free,3,4,Low_Carb,-0.4,-0.1,10.6,10
Male,Under_25,Above_190,81,24,Beginner,Less_than_3,HIIT,Whey_Protein,Isolate,7,3,Regular,0.1,-1.2,2.7,9.1
Male,Over_35,180-190,79,22,Intermediate,Less_than_3,Strength_Training,Creatine,HCL,4,6,Regular,4,0,7.4,10
Female,Under_25,170-180,69,21,Advanced,3-5_times,HIIT,Creatine,Monohydrate,6,6,Low_Carb,2.3,-0.2,13.4,10
Male,25-35,150-160,47,25,Advanced,3-5_times,Strength_Training,Whey_Protein,Concentrate,3,3,Regular,6.1,-2.2,8.3,10
Male,25-35,170-180,61,19,Intermediate,More_than_5,Strength_Training,Creatine,Monohydrate,6,4,Regular,6.6,0,15.4,10
Male,Over_35,170-180,70,21,Beginner,Less_than_3,HIIT,Creatine,HCL,4,5,Regular,1.1,-0.3,4.8,10
Male,Under_25,150-160,47,16,Intermediate,Less_than_3,HIIT,Creatine,Monohydrate,3,4,Low_Carb,0.7,-0.1,7.1,10
Female,Under_25,160-170,65,26,Advanced,3-5_times,HIIT,Creatine,Monohydrate,7,3,Regular,2.5,-0.1,13.1,10
Male,25-35,180-190,78,15,Advanced,3-5_times,Strength_Training,Multivitamin,Standard,3,5,Low_Carb,0.2,0.1,5.3,7.1
Female,25-35,170-180,67,22,Intermediate,3-5_times,Strength_Training,Creatine,Monohydrate,5,1,Regular,5.1,0,13.1,10
Female,25-35,170-180,67,21,Beginner,Less_than_3,Strength_Training,Multivitamin,Sport_Enhanced,7,5,Vegan,0.1,0.1,1.8,5.7
Female,25-35,180-190,82,20,Beginner,More_than_5,Strength_Training,Creatine,Monohydrate,5,7,Vegan,3.6,0,11.5,10
Male,Under_25,180-190,92,21,Intermediate,More_than_5,HIIT,Creatine,Monohydrate,5,3,High_Protein,4,-0.1,13.2,10
Male,Under_25,160-170,53,16,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,4,3,High_Protein,4.9,-0.1,10.1,10
Male,25-35,150-160,64,20,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar_Free,7,6,High_Protein,0.3,0,4.1,9.1
Female,Under_25,180-190,86,20,Beginner,3-5_times,Strength_Training,Creatine,HCL,4,4,Regular,4,-0.2,7.8,10
Male,Under_25,170-180,77,20,Beginner,3-5_times,Flexibility,Whey_Protein,Hydrolyzed,6,1,Vegan,0.4,-0.7,1.1,8.4
Male,25-35,170-180,79,19,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar,5,1,Regular,0.2,0,4.6,8.2
Male,Under_25,170-180,79,16,Intermediate,Less_than_3,Strength_Training,Whey_Protein,Isolate,6,1,Regular,3.7,-1.1,5.6,10
Male,Over_35,170-180,66,26,Intermediate,Less_than_3,Strength_Training,Pre_Workout,Regular,5,6,High_Protein,-0.1,0,7.8,10
Female,Under_25,160-170,71,18,Advanced,More_than_5,HIIT,BCAA,Whey_Based,8,1,Vegan,-0.5,-0.6,9.2,10
Male,Under_25,160-170,69,13,Advanced,3-5_times,HIIT,BCAA,Whey_Based,8,4,Regular,-0.5,-0.6,8.3,9.9
Male,25-35,170-180,71,15,Intermediate,Less_than_3,Flexibility,BCAA,Whey_Based,5,2,Low_Carb,0.3,-0.1,2,8.4
Male,Under_25,160-170,50,19,Intermediate,3-5_times,Endurance,Pre_Workout,Caffeine_Free,8,6,Low_Carb,0,-0.2,11.7,10
Female,Under_25,160-170,62,20,Advanced,3-5_times,Strength_Training,BCAA,Whey_Based,7,3,Regular,0.8,-0.6,6.9,9.8
Male,25-35,180-190,79,24,Intermediate,Less_than_3,Endurance,Whey_Protein,Hydrolyzed,5,5,Regular,0.8,-0.8,3.7,9.4
Male,Over_35,170-180,75,19,Beginner,More_than_5,Strength_Training,Whey_Protein,Isolate,3,1,High_Protein,6.1,-1,7.2,10
Male,Under_25,170-180,84,23,Intermediate,3-5_times,HIIT,Fish_Oil,Deep_Sea,5,2,Regular,-0.2,-2,2.9,8.3
Female,25-35,180-190,70,21,Beginner,Less_than_3,HIIT,Multivitamin,Standard,5,7,Vegan,-0.2,-0.2,2,6.8
Male,Over_35,160-170,71,24,Intermediate,Less_than_3,Endurance,Pre_Workout,Caffeine_Free,5,3,Regular,-0.3,-0.1,8.9,10
Male,Over_35,170-180,62,26,Intermediate,3-5_times,Endurance,Whey_Protein,Isolate,6,4,Regular,0.9,-1.2,6,10
Female,25-35,160-170,72,30,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,5,3,Regular,3.5,0,9.4,10
Male,25-35,160-170,63,27,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar_Free,7,7,Regular,0.3,0.1,3.5,8.6
Male,25-35,160-170,72,15,Intermediate,More_than_5,HIIT,Whey_Protein,Concentrate,6,6,High_Protein,3.1,-2,8.9,10
Male,Over_35,170-180,80,20,Intermediate,3-5_times,HIIT,BCAA,Whey_Based,5,6,Regular,-0.3,-0.6,5.8,9.9
Male,Under_25,170-180,67,13,Beginner,More_than_5,Flexibility,Fish_Oil,Deep_Sea,6,3,Regular,-0.1,-0.4,1,6.4
Male,25-35,Above_190,87,23,Advanced,More_than_5,HIIT,Energy_Drink,Sugar,5,1,Low_Carb,-0.3,-0.2,9,10
Male,25-35,170-180,72,22,Intermediate,3-5_times,Strength_Training,Fish_Oil,Deep_Sea,6,1,Regular,-0.1,-1,1.3,7.2
Male,25-35,180-190,86,21,Intermediate,3-5_times,HIIT,Creatine,HCL,4,4,High_Protein,2.7,-0.3,13.7,10
Male,25-35,160-170,72,26,Intermediate,3-5_times,Endurance,Pre_Workout,Regular,6,7,Regular,-0.4,-0.3,11.5,10
Male,Under_25,180-190,78,24,Beginner,More_than_5,HIIT,Creatine,Monohydrate,5,7,Regular,2.5,-0.2,8,10
Male,Under_25,Above_190,94,14,Beginner,3-5_times,HIIT,Creatine,Monohydrate,8,6,Regular,2.3,-0.1,7.3,10
Female,Under_25,170-180,61,21,Intermediate,More_than_5,Endurance,Whey_Protein,Concentrate,7,5,Low_Carb,2.4,-0.6,6.1,10
Male,25-35,170-180,70,20,Advanced,More_than_5,Endurance,Creatine,Monohydrate,6,1,Regular,3.2,-0.2,16.5,10
Male,Under_25,170-180,76,14,Beginner,Less_than_3,Strength_Training,Whey_Protein,Concentrate,4,6,Vegan,2.2,-0.6,2.3,9.7
Male,Under_25,170-180,68,14,Beginner,Less_than_3,Strength_Training,Whey_Protein,Concentrate,4,4,Regular,2.2,-0.6,3.3,10
